Number Of Species,Group,Genus,Biggest Threat,Prey,Location,Skin Type,Gestation Period,Kingdom,Age Of Weaning,Scientific Name,header_name,Diet,Top Speed,Estimated Population Size,Average Litter Size,Size (L),Other Name(s),Class,Lifestyle,Age Of Sexual Maturity,Colour,Name Of Young,Life Span,Predators,Fun Fact,Common Name,Order,Group Behaviour,Family,Habitat,Conservation Status,Most Distinctive Feature,Weight,Phylum
,,Panthera,,,,Fur,,Animalia,,Panthera Tigris Jacksoni,Malayan Tiger,Carnivore,96km/h (60mph),,3,,,Mammalia,Solitary,,"Orange, Black, White",,18 - 25 years,Human,,,Carnivora,,Felidae,Dense tropical forest,Endangered,,80kg - 150kg (176lbs - 330lbs),Chordata
,,Viverra,,,,Fur,,Animalia,,Viverra Tangalunga,Malayan Civet,Carnivore,,,2,,,Mammalia,Solitary,,"Black, White, Grey, Yellow, Brown, Tan",,15 - 20 years,"Tiger, Snakes, Leopards",,,Carnivora,,Viverridae,Tropical rainforest,Vulnerable,,1.4kg - 4.5kg (3lbs - 10lbs),Chordata
,,Pica,,,,Feathers,,Animalia,,Pica Pica,Magpie,Omnivore,32km/h (20mph),,,40cm - 46cm (16in - 18in),,Aves,Solitary,,"Black, White",,8 - 15 years,"Foxes, Cats, Coyote",,,Passeriformes,,Corvidae,"Open woodland, grasslands and savannas",Threatened,,200g - 250g (7oz - 9oz),Chordata
,,Spheniscus,,,,Feathers,,Animalia,,Spheniscus Magellanicus,Magellanic Penguin,Carnivore,35km/h (22mph),,2,61cm - 76cm (24in - 30in),,Aves,Flock,,"Grey, Black, White, Brown",,15 - 20 years,"Sea Lion, Leopard Seal, Killer Whale",,,Sphenisciformes,,Spheniscidae,Antarctic islands,Endangered,,2.7kg - 6.5kg (5.9lbs - 14lbs),Chordata
,,Arini,,,,Feathers,,Animalia,,Arini,Macaw,Omnivore,24km/h (15mph),,,,,Aves,Flock,,"Red, Blue, Yellow, Green, White",,50 - 60 years,"Human, Monkeys, Large Birds",,,Psittaciformes,,Psittacidae,Rainforests and tropical jungle,Endangered,,0.9kg - 2kg (2lbs - 4.4lbs),Chordata
,,Lynx,,,,Fur,,Animalia,,Felis Lynx,Lynx,Carnivore,80km/h (50mph),,4,,,Mammalia,Solitary,,"Tan, Yellow, Brown, Black",,12-20 years,"Wolf, Coyote, Human, Cougar",,,Carnivora,,Felidae,Secluded forests and mountainous regions,Least Concern,,10-25kg (22-55lbs),Chordata
,,Eudyptes,,,,Feathers,,Animalia,,Eudyptes Chrysolophus,Macaroni Penguin,Carnivore,35km/h (22mph),,,,,Aves,Colony,,"Black, White, Brown, Yellow",,15-20 years,"Leopard Seal, Killer Whale",,,Sphenisciformes,,Spheniscidae,Sea and ice-islands in Sub-Antarctica,Threatened,,3.2-6.4kg (7-14lbs),Chordata
,,,,,,Shell,,Animalia,,Nephropidae,Lobster,Carnivore,19km/h (12mph),,12,,,Crustacea,Solitary,,"Red, Brown, Blue, Orange",,20-80 years,"Human, Eels, Large fish",,,Decapoda,,Nephropidae,Sea gardens and rocky beds,Least Concern,,1-7kg (2.2-15lbs),Arthropoda
,,Casuarius,,,,Feathers,,Animalia,,Casuarius,Long-Eared Owl,Carnivore,50km/h (31mph),,,,,Aves,Solitary,,"Brown, Yellow, Black, Tan",,40 - 60 years,"Eagles, Harks, Foxes",,,Casuariiformes,,Casuariidae,Coniferous forests,Least Concern,,100g - 300g (3.5oz - 10.5oz),Chordata
,,Lama,,,,Fur,,Animalia,,Lama Glama,Llama,Herbivore,45km/h (28mph),,1,,,Mammalia,Herd,,"Tan, Brown, White, Black",,15-20 years,"Human, Puma, Coyote",,,Artiodactyla,,Camelidae,Mountainous deserts and grasslands,Least Concern,,130-204kg (280-450lbs),Chordata
,,,,,,Scales,,Animalia,,Lacertilia,Lizard,Omivore,24km/h (15mph),,18,,,Reptilia,Solitary,,"Tan, Brown, Yellow, Green, Black",,1-30 years,"Human, Birds, Snakes",,,Squamata,,Lacertidae,Warm forests and deserts worldwide,Threatened,,0.01-300kg (0.02-661lbs),Chordata
,,Eudyptula,,,,Feathers,,Animalia,,Eudyptula Minor,Little Penguin,Carnivore,,,2,,,Aves,Colony,,"Black, White, Grey, Blue, ",,10 - 20 years,"Leopard Seal, Killer Whale, Sharks",,,Sphenisciformes,,Spheniscidae,Rocky Antarctic Islands,Least Concern,,1kg - 3kg (2.2lbs - 6.6lbs),Chordata
,,Pterois,,,,Scales,,Animalia,,Pterois volitans,Lionfish,Carnivore,,,,30cm - 35cm (12in - 14in),,Actinopterygii,,,"Red, White, Black, Brown, Orange",,10 - 18 years,"Eels, Frogfish, Scorpion Fish",,Lionfish,Scorpaeniformes,,Scorpaenidae,Tropical reefs and rocky crevices,Least Concern,,,Chordata
2,Mammal,Panthera,Habitat loss,"Antelope, Warthog, Zebra",sub-Saharan Africa,Fur,110 days,Animalia,6 months,Panthera leo,Lion,Carnivore,56kph (35mph),"23,000",3,1.4m - 2.5m (4.7ft - 8.2ft),African Lion,Mammalia,Diurnal/Nocturnal,2 - 3 years,"Tawny, Gold, Blonde, Brown",Cub,8 - 15 years,Human,Lives in small groups called prides!,Lion,Carnivora,Pride,Felidae,"open woodland, scrub, grassland",Vulnerable,Long and thick hairy mane of the male around the face,120kg - 249kg (264lbs - 550lbs),Chordata
1,Mammal,Panthera,Commercial breeding,"Deer, Wild Boar, Cattle",Zoos,Fur,100 days,Animalia,6 months,Panthera leo × Panthera tigris,Liger,Carnivore,80kph (50mph),Not known,0,,,Mammalia,Diurnal/Nocturnal,3 - 4 years,"Tan, Black, Brown, Orange",Cub,18 - 22 years,Human,The offspring of a lion and tiger parents!,Liger ,Carnivora,Solitary,Felidae,Do not occur in the natural world,Not Listed,Enormous head and body size,"400kg - 600kg (882lbs - 1,322lbs)",Chordata
,,Geochelone,,,,Scales,,Animalia,,Geochelone Pardalis,Leopard Tortoise,Herbivore,0.5km/h (0.3mph),,,40cm - 70cm (16in - 28in),,Reptilia,Solitary,,"Black, Brown, Tan, Yellow, Grey",,50 - 100 years,"Cats, Dogs, Humans",,,Testudines,,Testudinidae,Grassland and savannah,Threatened,,18kg - 54kg (40lbs - 120lbs),Chordata
,,Hydrurga,,,,Fur,,Animalia,,Hydrurga Leptonyx,Leopard Seal,Carnivore,29km/h (18mph),,1,,,Mammalia,Herd,,"Grey, Black",,20-24 years,"Human, Sharks, Killer Whale",,,Carnivora,,Phocidae,Cold waters of the southern hemisphere,Threatened,,"200-591kg (440-1,300lbs)",Chordata
,,Prionailurus,,,,Fur,,Animalia,,Prionailurus Bengalensis,Leopard Cat,Carnivore,72.4km/h (45mph),,3,46cm - 65cm (18in - 26in),,Mammalia,Solitary,,"Grey, Black, White, Yellow",,10 - 13 years,"Leopard, Tiger, Wilddog",,,Carnivora,,Felidae,Tropical forests,Least Concern,,2.2kg - 7.5kg (4.9lbs - 17lbs),Chordata
7,Mammal,Panthera,Trophy hunting and habitat loss,"Deer, Warthog, Rodents",Sub-Saharan Africa and southern Asia,Fur,90 - 105 days,Animalia,3 months,Panthera pardus,Leopard,Carnivore,45kph (30mph),Stable,3,100cm - 190cm (40in - 75in),Panther,Mammalia,Nocturnal,2 - 2.5 years,"Yellow, Golden, Black, Dark Brown",Cub,10 - 15 years,"Tiger, Lions, Humans",Spends much of the time high in the trees!,Leopard,Carnivora,Solitary,Felidae,"Rainforest, grassland and mountainous regions",Near Threatened,"Dense patterned fur and long, sharp teeth",30kg - 90kg (66lbs - 198lbs),Chordata
,,,,,,Fur,,Animalia,,Lemur Catta,Lemur,Omnivore,20km/h (12mph),,3,,,Mammalia,Group,,"Grey, Brown, White, Black",,10-14 years,"Hawk, Fossa, Wild dogs",,,Primates,,Lemuridae,Dry forest and tropical jungle,Least Concern,,0.03-10kg (0.06-22lbs),Chordata
,,Lemmus,,,,Fur,,Animalia,,Lemmus Lemmus,Lemming,Herbivore,5km/h (3mph),,7,,,Mammalia,Solitary,,"Grey, Brown, White",,1-3 years,"Owls, Foxes, Wolves",,,Rodentia,,Cricetidae,Arctic tundra and woodland areas,Threatened,,30-112g (1.1-4oz),Chordata
,,Uroplatus,,,,Scales,,Animalia,,Uroplatus,Leaf-Tailed Gecko,Carnivore,48km/h (30mph),,,10cm - 30cm (4in - 12in),,Reptilia,Solitary,,"Green, Black, Brown, Tan",,2 - 9 years,"Owls, Rats, Snakes",,,Squamata,,Gekkonidae,Dense tropical jungle,Threatened,,10g - 30g (0.35oz - 1oz),Chordata
,,,,,,Shell,,Animalia,,Coccinellidae,Ladybird,Carnivore,,,"2,000",,,Insecta,,,"Red, Black, Yellow, Orange, White, Brown",,,"Birds, Rodents, Reptiles, Insects",,Ladybird,Coleoptera,,Coccinellidae,"Woodland, hedgerows and meadows",Threatened,,,Arthropoda
,,Tragelaphus,,,,Hair,,Animalia,,Tragelaphus Strepsiceros,Kudu,Herbivore,95km/h (60mph),,1,,,Mammalia,Herd,,"Brown, Grey, Red",,8-14 years,"Lions, Leopards, Wild Dogs",,,Artiodactyla,,Bovidae,Shrub woodland and savanna plains,Least Concern,,120-256kg (265-565lbs),Chordata
3,Mammal,Phascolarctos,Habitat loss and disease,Eucalyptus leaves ,south-eastern Australia,Fur,35 days,Animalia,6 - 7 months,Phascolarctos cinereus,Koala,Herbivore,10kph (2mph),Stable,1,,Koala Bear,Mammalia,Nocturnal,2 years,"Grey, Grey-Brown, White, Black",Joey,15 - 20 years,"Birds of Prey, Dingo, Human",Spends up to 80% of the time sleeping or resting!,Koala,Diprotodontia,Solitary,Phascolarctidae,"Eucalyptus, inland and coastal forests",Least Concern,"Large, wide head and tufted, round ears",4kg - 15kg (8.8lbs - 33lbs),Chordata
,,Apteryx,,,,Feathers,,Animalia,,Actinidia Deliciosa,Kiwi,Omnivore,19km/h (12mph),,,,,Aves,Solitary,,"Brown, Grey, White",,8 - 12 years,"Foxes, Dogs, Cats",,,Struthioniformes,,Apterygidae,Forests and dense woodland,Threatened,,1.3kg - 3.3kg (2.6lbs - 7.3lbs),Chordata
1,Reptile,Varanus,Hunting and habitat loss,"Pigs, Deer, Water Buffalo",Komodo National Park,Scales,,Animalia,,Varanus komodoensis,Komodo Dragon,Carnivore,18kph (11mph),"3,000 - 5,000",20,2m - 3.1m (6.6ft - 10.3ft),Komodo Monitor,Reptilia,Diurnal,5 years,"Grey, Brown, Cream, Grey",Pup,25 - 40 years,Humans,Only found on five Indonesian islands!,Komodo Dragon,Squamata,Solitary,Varanidae,Open woodland and hillsides,Vulnerable,Long and deep forked tongue to taste the air,70kg - 150kg (150lbs - 300lbs),Chordata
,,,,,,Feathers,,Animalia,,Coraciiformes,Kingfisher,Omnivore,40km/h (25mph),,,,,Aves,Solitary,,"Red, Green, Yellow, Orange, Black, Blue, Brown",,6 - 10 years,"Foxes, Snakes, Raccoons",,,Coraciiformes,,Alcedines,Lowland freshwater areas and river estuaries,Threatened,,10g - 170g (0.4oz - 6oz),Chordata
,,Aptenodytes,,,,Feathers,,Animalia,,Aptenodytes Patagonicus,King Penguin,Carnivore,,,1,,,Aves,Colony,,"Black, White, Grey, Yellow",,15 - 20 years,"Leopard Seal, Killer Whale, Sharks",,,Sphenisciformes,,Spheniscidae,Rocky Antarctic Islands,Least Concern,,11kg - 16kg (24lbs - 35lbs),Chordata
,,Lopholithodes,,,,Shell,,Animalia,,Lopholithodes Mandtii,King Crab,Carnivore,11km/h (7mph),,7,,,Crustacea,Solitary,,"Blue, Red, Orange",,15-30 years,"Human, Larger Fish, Octopus",,,Decapoda,,Lithodidae,Cold coastal waters and continental shelves,Threatened,,2-8kg (4.4-18lbs),Arthropoda
,,Orcinus,,,,Smooth,,Animalia,,Orcinus Orca,Killer Whale,Carnivore,45km/h (30mph),,1,,,Mammalia,Pod,,"Black, White",,50-60 years,"Human, Larger Sharks",,,Cetacea,,Delphinidae,Ocean and coastal waters worldwide,Endangered,,"6,804-8,618kg (15,000-19,000lbs)",Chordata
,,Macropus,,,,Fur,,Animalia,,Macropus Giganteus,Kangaroo,Omnivore,55km/h (35mph),,2,,,Mammalia,Sociable,,"Tan, Brown, Grey",,4-10 years,"Human, Dingo",,,Diprotodontia,,Macropodidae,"Dry forests, desert and grassland",Threatened,,18-95kg (40-200lbs),Chordata
,,Ramphastos,,,,Feathers,,Animalia,,Ramphastos Sulfuratus,Keel Billed Toucan,Omnivore,64km/h (39mph),,,,,Aves,Sociable,,"Red, Green, Yellow, Orange, Black",,15 - 20 years,"Human, Weasels, Large Birds",,,Piciformes,,Ramphastidae,Lowland rainforest and tropical forest borders,Least Concern,,2.1kg - 4kg (4.7lbs - 8.8lbs),Chordata
,,Strigops,,,,Feathers,,Animalia,,Strigops Habroptilus,Kakapo,Herbivore,,,2,,,Aves,Solitary,,"Green, Brown",,50-65 years,"Human, Cats, Stoats",,,Psittaciformes,,Nestoridae,Areas of natural vegetation and dense jungle,Endangered,,2-4kg (4.5-9lbs),Chordata
,,,,,,Smooth,,Animalia,,Cnidaria Scyphozoa Aurelia,Jellyfish,Carnivore,8km/h (5mph),,100,,,Scyphozoa,Group,,"White, Blue, Pink, Yellow, Green, Purple, Red, Orange",,1-5 years,"Humans, Sea Birds, Sharks",,,Semaeostomeae,,Cyaneidae,Shallow and deep ocean,Least Concern,,20-400g (0.7-14oz),Cnidaria
,,Rhinoceros,,,,Leather,,Animalia,,Rhinoceros Sondaicus,Javan Rhinoceros,Herbivore,42km/h (30mph),,1,,,Mammalia,Solitary,,"Brown, Grey, Black",,30-45 years,"Human, Wild cats",,,Perissodactyla,,Rhinocerotidae,"Tropical bushland, grassland and rainforest",Critically Endangered,,"900kg - 2,300kg (2,000lbs - 5,100lbs)",Chordata
2,Mammal,Macaca,Habitat loss,"Fruit, Young Leaves, Seeds",Throughout Japan,Fur,5 - 6 months,Animalia,20 months,Macaca fuscata,Japanese Macaque,Omnivore,,"50,000",1,,Snow Monkey,Mammalia,Diurnal,4 - 5 years,"Brown, Grey",Infant,25 - 32 years,"Human, Wolf, Feral Dog",Has cheek pouches for storing food! ,Japanese Macaque,Primates,Troop,Cercopithecidae,Tropical forest and mountains,Threatened,"Red and human-like, naked face",5kg - 14kg (11lbs - 31lbs),Chordata
1,Mammal,Panthera,Hunting and habitat loss,"Deer, Capybara, Tapir",Central and South America,Fur,90 - 105 days,Animalia,3 months,Panthera onca,Jaguar,Carnivore,80kph (50mph),"15,000",3,1.1m - 1.9m (43in - 75in),,Mammalia,Crepuscular,3 - 4 years,"Tan, Yellow, Brown, White, Black",Cub,12 - 15 years,Human,The largest feline on the American continent!,Jaguar,Carnivora,Solitary,Felidae,"Rainforest, swamp and floodplains",Threatened,Beautiful rosetted fur pattern,36kg - 160kg (79lbs - 350lbs),Chordata
,,Canis,,,,Fur,,Animalia,,Canis Aureus,Jackal,Carnivore,32 km/h (20 mph),,5,,,Mammalia,Pack,,"Tan, Brown, Grey, White",,8-15 years,"Hyena, Leopard, Eagles",,,Carnivora,,Canidae,Grass plains and dry woodland,Least Concern,,6.8-11kg (15-24lbs),Chordata
,,,,,,,,,,Insecta,Insect,Omnivore,300cm/s (120in/s),,,,,,Colony,,,,2 years,,,,,,,,Least Concern,,30g (1oz),
,,Panthera,,,,Fur,,Animalia,,Panthera Tigris Corbetti,Indochinese Tiger,Carnivore,96km/h (60mph),,2,,,Mammalia,Solitary,,"Orange, Black, White",,18 - 25 years,Human,,,Carnivora,,Felidae,Secluded mountainous forests,Endangered,,100kg - 195kg (221lbs - 430lbs),Chordata
1,Mammal,Indri,Habitat loss,"Fruits, Flowers, Leaves",Eastern Madagascar,Fur,4 - 5 months,Animalia,8 months,Indri indri,Indri,Herbivore,32kph (20mph),"10,000",1,,Babakoto,Mammalia,Diurnal,8 - 9 years,"Grey, Black, Brown, White",Infant,15 - 22 years,"Fossa, Hawks, Snakes",The largest species of Lemur!,Indri,Primates,Troop,Indriidae,Lowland rainforest,Endangered,,6kg - 9.5kg (13lbs - 21lbs),Chordata
,,Geochelone,,,,Scales,,Animalia,,Geochelone Elegans,Indian Star Tortoise,Herbivore,0.5km/h (0.3mph),,,20cm - 30cm (8in - 12in),,Reptilia,Solitary,,"Green, Black, Brown, Tan, Yellow",,30 - 80 years,"Birds, Reptiles, Humans",,,Testudines,,Testudinidae,Dry scrub forest,Threatened,,1.3kg - 2.2kg (3lbs - 4.9lbs),Chordata
,,Rhinoceros,,,,Leather,,Animalia,,Rhinoceros Unicornis,Indian Rhinoceros,Herbivore,42km/h (30mph),,1,,,Mammalia,Solitary,,"Brown, Grey, Black",,45-50 years,"Human, Wild cats",,,Perissodactyla,,Rhinocerotidae,"Tropical bushland, grassland and savannas",Endangered,,"2,200kg - 3,000kg (4,900lbs - 6,600lbs)",Chordata
,,Funambulus,,,,Fur,,Animalia,,Funambulus Palmarum,Indian Palm Squirrel,Omnivore,17km/h (10mph),,3,,,Mammalia,Solitary,,"Tan, Brown, Yellow",,2-4 years,"Human, Snakes, Wildcats",,,Rodentia,,Sciuridae,Thick forest and tropical jungles,Least Concern,,100-120g (3.5-4.2oz),Chordata
,,Elephas,,,,Leather,,Animalia,,Elephas Maximus Indicus,Indian Elephant,Herbivore,43km/h (27mph),,1,,,Mammalia,Herd,,"Grey, Brown, Black",,55 - 70 years,"Human, Tiger",,,Proboscidea,,Elephantidae,Rainforest and tropical woodland,Endangered,,"3,000kg - 5,000kg (6,500lbs - 11,000lbs)",Chordata
,,Aepyceros,,,,Fur,,Animalia,,Aepyceros Melampus,Impala,Herbivore,48km/h (30mph),,1,,,Mammalia,Herd,,"Tan, Brown, White",,12-15 years,"Hyena, Lion, Crocodile",,,Artiodactyla,,Bovidae,Wooded savanna and dense bushland,Least Concern,,37-75kg (81.6-165lbs),Chordata
,,Iguana,,,,Scales,,Animalia,,Iguana Iguana,Iguana,Omnivore,35km/h (21mph),,3,,,Reptilia,Solitary,,"Green, Brown, Yellow",,15-20 years,"Hawk, Eagle, Snakes",,,Squamata,,Iguanidae,Lowland tropical rainforest near water,Threatened,,4-8kg (8.8-17.6lbs),Chordata
,,Crocuta,,,,Fur,,Animalia,,Crocuta Crocuta,Hyena,Carnivore,60km/h (37mph),,3,,,Mammalia,Pack,,"Brown, Tan, Black",,20-25 years,"Lion, Leopard, Crocodile",,,Carnivora,,Hyaenidae,Open savanna plains and grassland,Threatened,,41-86kg (90-190lbs),Chordata
,,,,,,Feathers,,Animalia,,Threskiornithidae,Ibis,Omnivore,,,,,,Aves,Flock,,"Black, White, Grey, Brown",,8 - 15 years,"Falcon, Hawks, Herons",,,Ciconiiformes,,Threskiornithidae,"Marshes, wetlands and swamps",Least Concern,,0.3kg - 2kg (0.6lbs - 4lbs),Chordata
,,Megaptera,,,,Smooth,,Animalia,,Megaptera Novaeangliae,Humpback Whale,Omnivore,17km/h (11mph),,1,,,Mammalia,Herd,,"Black, white, grey",,50-60 years,"Human, Killer Whale",,,Cetacea,,Balaenopteridae,Open ocean and coastal regions,Least Concern,,"36,000-99,800kg (40-100tons)",Chordata
,,Trochilinae,,,,Feathers,,Animalia,,Trochilidae,Hummingbird,Omnivore,48km/h (30mph),,,,,Aves,Solitary,,"Green, Brown, Tan, Red, White, Grey",,3 - 5 years,"Hawks, Snakes, Lizards",,,Apodiformes,,Trochilidae,Rainforest and tropical jungles,Endangered,,2.2g - 20g (0.07oz - 0.7oz),Chordata
,,Homo,,,,Smooth,,Animalia,,Homo Sapiens Sapiens,Human,Omnivore,29km/h (18mph),,1,,,Mammalia,Group,,"Brown, Tan, Black, White, Olive",,60-80 years,"Bears, Lion, Tiger",,,Primates,,Hominidae,Worldwide based near rivers,Least Concern,,54-83kg (120-183lbs),Chordata
,,Spheniscus,,,,Feathers,,Animalia,,Spheniscus Humboldti,Humboldt Penguin,Carnivore,,,2,,,Aves,Colony,,"Black, White, Grey",,15 - 20 years,"Leopard Seal, Killer Whale, Sharks",,,Sphenisciformes,,Spheniscidae,Rocky Ocean Islands,Vulnerable,,2kg - 5kg (4.4lbs - 11lbs),Chordata
,,Alouatta,,,,Hair,,Animalia,,Alouatta,Howler Monkey,Omnivore,30km/h (18mph),,1,,,Mammalia,Troop,,"Brown, Tan, Black",,15-20 years,"Jaguar, Snakes, Birds",,,Primates,,Atelidae,Rainforest and dense jungle,Least Concern,,3-9kg (6.6-20lbs),Chordata
,,,,,,Shell,,Animalia,,Limulidae,Horseshoe Crab,Omnivore,,,"90,000",20cm - 60cm (8in - 24in),,Merostomata,,,"Black. Brown, Yellow, Tan, Silver, White",,,"Sharks, Sea Turtles, Humans",,Horseshoe Crab,Xiphosurida,,Limulidae,Muddy bottoms of shallow water,Least Concern,,1kg - 4.5kg (2.2lbs - 9.9lbs),Arthropoda
,,Ceratophrys,,,,Permeable scales,,Animalia,,Ceratophrys Ornata,Horned Frog,Carnivore,8km/h (5mph),,"1,500",,,Amphibia,Solitary,,"Brown, White, Yellow",,5-8 years,"Birds, Snakes, Bears",,,Anura,,Leptodactylidae,Rainforest and tropical swamplands,Least Concern,,320-480g (11.2-17oz),Chordata
,,Equus,,,,Hair,,Animalia,,Equus Caballus,Horse,Herbivore,64km/h (40mph),,1,,,Mammalia,Herd,,"Brown, White, Black",,25-30 years,"Human, Wolf, Bears",,,Perissodactyla,,Equidae,Small forests and grassland,Threatened,,"380-550kg (840-1,200lbs)",Chordata
,,Heterodontus,,,,Smooth,,Animalia,,Heterodontus Francisci,Horn Shark,Carnivore,,,20,70cm - 120cm (27.5in - 47in),,Chondrichthyes,,,"Grey, Brown, Black, Yellow",,12 - 25 years,"Large fish, Sharks, Humans",,Horn Shark,Heterodontiformes,,Heterodontidae,Warm continental shelves,Data Deficient,,,Chordata
,,Apis,,,,Hair,,Animalia,,Apis,Honey Bee,Herbivore,,,200,,,Insecta,,,"Brown, Yellow, Black",,,"Birds, Rodents, Reptiles, Insects",,Honey Bee,Hymenoptera,,Apidae,Sheltered forests and meadows,Endangered,,,Arthropoda
1,Mammal,Hippopotamus,Hunting and habitat loss,"Grasses, Grain, Flowers",Sub-Saharan Africa,Leather,240 days,Animalia,18 months,Hippopotamus amphibius,Hippopotamus,Herbivore,45kph (30mph),"150,000",1,2m - 5m (6.5ft - 16.5ft),"Common Hippopotamus, Water Horse",Mammalia,Nocturnal,6 - 14 years,"Grey, Brown, Black, Pink",Calf,40 - 50 years,"Lions, Hyenas, Crocodiles",Has pink anti-bacterial sweat!,Hippopotamus,Artiodactyla,Herd,Hippopotamidae,"Lakes, rivers and wetlands",Vulnerable,"Ears, eyes and nostrils on top of the head","1tonne - 4.5tonnes (2,200lbs - 9,900lbs)",Chordata
,,Bos,,,,Hair,,Animalia,,Bos Taurus,Highland Cattle,Herbivore,40km/h (25mph),,1,,,Mammalia,Herd,,"Tan, Brown, Orange",,15-22 years,"Human, Wolf, Coyote",,,Artiodactyla,,Bovidae,Mountainous and wet grasslands,Least Concern,,"400-1,000kg (882-2,204lbs)",Chordata
,,,,,,Feathers,,Animalia,,Ardeidae,Heron,Carnivore,64km/h (40mph),,,,,Aves,Solitary,,"Brown, Black, White, Grey",,15 - 20 years,"Fox, Mink, Raccoon",,,Ciconiiformes,,Ardeidae,Wetland regions,Least Concern,,1.5kg - 3kg (3.3lbs - 6.6lbs),Chordata
,,,,,,Shell,,Animalia,,Paguroidea,Hermit Crab,Omnivore,,,200,,,Malacostraca,,,"Green, Red, Blue, Yellow, Orange, Brown, Pink, White",,,"Fish, Sharks, Cuttlefish",,Hermit Crab,Decapoda,,Paguroidea,Coastal waters,Threatened,,200-500g (7-18oz),Arthropoda
,,Dynastes,,,,Shell,,Animalia,,Dynastes Hercules ,Hercules Beetle,Omnivore,,,100,4cm - 17cm (1.5in - 6.7in),,Insecta,,,"Black, Brown, Green, Blue, White, Yellow",,,"Bats, Rats, Birds",,Hercules Beetle,Coleoptera,,Scarabaeidae,Tropical Rainforest,Threatened,,,Arthropoda
,,Atelerix,,,,Spikes,,Animalia,,Atelerix Albiventris,Hedgehog,Omnivore,19km/h (12mph),,5,,,Mammalia,Solitary,,"Tan, Brown, Grey",,3-6 years,"Owl, Dog, Foxes",,,Erinaceomorpha,,Erinaceidae,Dense vegetation and woodland,Least Concern,,1-2kg (2.2-4.4lbs),Chordata
,,Lepus,,,,Fur,,Animalia,,Lepus Europaeus,Hare,Herbivore,72km/h (45mph),,6,,,Mammalia,Solitary,,"Tan, Brown, White, Black",,2-8 years,"Owl, Hawk, Coyote",,,Lagomorpha,,Leporidae,Dense vegetation and open fields,Threatened,,1-5.5kg (3-12lbs),Chordata
,,Mesocricetus,,,,Fur,,Animalia,,Mesocricetus Auratus,Hamster,Omnivore,6km/h (4mph),,8,,,Mammalia,Solitary,,"Tan, Brown, White, Black",,2-3 years,"Owl, Hawk, Snakes",,,Rodentia,,Cricetidae,Dry deserts and sand dunes,Least Concern,,100-900g (3.5-32oz),Cnidaria
,,Sphyrna,,,,Smooth,,Animalia,,Sphyrna Zygaena,Hammerhead Shark,Carnivore,40km/h (25mph),,26,,,Chondrichthyes,Herd,,"Grey, Brown, White",,20-25 years,"Tiger Shark, Great White Shark, Killer Whale",,,Carcharhiniformes,,Sphyrnidae,Warm waters and continental shelves,Threatened,,230-450kg (500-1000lbs),Chordata
,,Poecilia,,,,Scales,,Animalia,,Poecilia Reticulata,Guppy,Omnivore,,,,4cm - 7.6cm (1.5in - 3in),,Actinopterygii,,,,,2 - 4 years,"Fish, Birds, Mammals",,Guppy,Cyprinodontiformes,,Poeciliidae,Rivers in the Amazon,Least Concern,,,Chordata
,,Cavia,,,,Fur,,Animalia,,Cavia Porcellus,Guinea Pig,Herbivore,9km/h (5.5mph),,4,,,Mammalia,Solitary,,"Grey, Tan, Brown, Black, White, Orange",,4-7 years,"Wolf, Snake, Coyote",,,Rodentia,,Caviidae,Tropical grassland areas,Least Concern,,"700-1,200g (1.5-2.5lbs)",Cnidaria
,,,,,,Feathers,,Animalia,,Numididae,Guinea Fowl,Omnivore,35km/h (22mph),,,40cm - 71cm (16in - 30in),,Aves,Flock,,"Black, White, Brown, Red, Yellow, White, Grey",,10 - 20 years,Large Mammals and Reptiles,,,Galliformes,,Numididae,"Forest, desert and grasslands",Least Concern,,0.7kg - 1.6kg (1.5lbs - 3.5lbs),Chordata
,,Tetraoninae,,,,Feathers,,Animalia,,Tetraoninae,Grouse,Omnivore,10km/h (6mph),,,31cm - 95cm (12in - 37in),,Aves,Flock,,"Black, White, Brown, Yellow, Green, Blue, Red",,1 - 10 years,"Fox, Lynx, Birds Of Prey",,,Galliformes,,Phasianidae,"Forest, shrubland and grassy plains",Least Concern,,0.3kg - 6.5kg (0.6lbs - 14lbs),Chordata
,,Ursus,,,,Fur,,Animalia,,Ursus Arctos Horriblis,Grizzly Bear,Omnivore,56km/h (35mph),,2,,,Mammalia,Solitary,,"Dark brown, Black",,15 - 25 years,"Human, Cougars",,,Carnivora,,Ursidae,Forest and mountainous regions,Endangered,,160kg - 225kg (353lbs - 500lbs),Chordata
,,Halichoerus,,,,Smooth,,Animalia,,Halichoerus Grypus,Grey Seal,Carnivore,10km/h (6mph),,1,,,Mammalia,Herd,,"Grey, Tan",,18-25 years,"Human, Sharks, Killer Whale",,,Carnivora,,Phocidae,Cool waters and rocky shores,Threatened,,150-300kg (330-660lbs),Chordata
,,Carcharhinus,,,,Smooth,,Animalia,,Carcharhinus Amblyrhynchos,Grey Reef Shark,Carnivore,40km/h (25mph),,4,,,Chondrichthyes,Solitary,,"Grey, White, Black",,22-28 years,"Human, Larger sharks",,,Carcharhiniformes,,Carcharhinidae,Warm waters and coral reefs,Threatened,,20-30kg (44-66lbs),Chordata
